Paper,Item,AO,Max Mark
Paper 1,1a,AO1,1
Paper 1,1b,AO1,1
Paper 1,1c,AO1,1
Paper 1,2a,AO1,1
Paper 1,2b,AO1,1
Paper 1,2c,AO1,1
Paper 1,3,AO1,2
Paper 1,4,AO1,2
Paper 1,5a,AO1,1
Paper 1,5b,AO1,1
Paper 1,5c,AO1,1
Paper 1,5d,AO1,1
Paper 1,6,AO1,2
Paper 1,7,AO1,2
Paper 1,8,AO1,3
Paper 1,9,AO2,3
Paper 1,10a,AO1,1
Paper 1,10b,AO1,2
Paper 1,10c,AO1,2
Paper 1,11ai,AO2,1
Paper 1,11aii,AO2,1
Paper 1,11b,AO2,2
Paper 1,12a,AO2,2
Paper 1,12b,AO2,2
Paper 1,13,AO2,3
Paper 1,14a,AO2,2
Paper 1,14b,AO2,2
Paper 1,15a,AO2,3
Paper 1,15b,AO3,2
Paper 1,16a,AO3,2
Paper 1,16b,AO3,3
Paper 1,17a,AO3,2
Paper 1,17b,AO3,2
Paper 1,17c,AO3,2
Paper 2,1a,AO1,2
Paper 2,1b,AO1,1
Paper 2,1c,AO1,2
Paper 2,2a,AO1,1
Paper 2,2b,AO1,2
Paper 2,2c,AO1,3
Paper 2,2d,AO1,2
Paper 2,3,AO2,4
Paper 2,4a,AO1,1
Paper 2,4b,AO2,3
Paper 2,5ai,AO1,2
Paper 2,5aii,AO2,1
Paper 2,5b,AO2,3
Paper 2,6a,AO1,2
Paper 2,6b,AO2,2
Paper 2,7a,AO2,1
Paper 2,7b,AO2,1
Paper 2,7c,AO2,1
Paper 2,8a,AO1,1
Paper 2,8b,AO2,3
Paper 2,8c,AO2,2
Paper 2,9a,AO1,2
Paper 2,9b,AO2,2
Paper 2,10a,AO2,2
Paper 2,10b,AO2,1
Paper 2,10c,AO2,1
Paper 2,10d,AO2,1
Paper 2,11a,AO2,1
Paper 2,11b,AO2,3
Paper 2,11c,AO2,1
Paper 2,12a,AO1,2
Paper 2,12b,AO2,3
Paper 2,13a,AO2,2
Paper 2,13b,AO2,1
Paper 2,13ci,AO2,2
Paper 2,13cii,AO2,2
Paper 2,14a,AO3,2
Paper 2,14b,AO3,2
Paper 2,15a,AO3,2
Paper 2,15b,AO3,2
Paper 2,16a,AO3,2
Paper 2,16b,AO3,4
